quart,total_posts,answered,unanswered
"2008-07-01 00:00:00","69","59","10"
"2008-10-01 00:00:00","231","193","38"
"2009-01-01 00:00:00","497","393","104"
"2009-04-01 00:00:00","797","610","187"
"2009-07-01 00:00:00","1187","890","297"
"2009-10-01 00:00:00","1448","1152","296"
"2010-01-01 00:00:00","2048","1579","469"
"2010-04-01 00:00:00","1901","1390","511"
"2010-07-01 00:00:00","2211","1639","572"
"2010-10-01 00:00:00","2331","1659","672"
"2011-01-01 00:00:00","3137","2270","867"
"2011-04-01 00:00:00","3472","2481","991"
"2011-07-01 00:00:00","3289","2212","1077"
"2011-10-01 00:00:00","3115","2176","939"
"2012-01-01 00:00:00","3842","2682","1160"
"2012-04-01 00:00:00","4084","2712","1372"
"2012-07-01 00:00:00","4545","3077","1468"
"2012-10-01 00:00:00","4201","2708","1493"
"2013-01-01 00:00:00","4968","2931","2037"
"2013-04-01 00:00:00","5254","3051","2203"
"2013-07-01 00:00:00","5383","3054","2329"
"2013-10-01 00:00:00","5103","2919","2184"
"2014-01-01 00:00:00","5805","3110","2695"
"2014-04-01 00:00:00","5750","2735","3015"
"2014-07-01 00:00:00","5782","2633","3149"
"2014-10-01 00:00:00","5631","2508","3123"
"2015-01-01 00:00:00","5943","2602","3341"
