quart,total_posts,answered,unanswered
"2010-01-01 00:00:00","1","1","0"
"2011-04-01 00:00:00","1","1","0"
"2011-07-01 00:00:00","4","4","0"
"2011-10-01 00:00:00","10","7","3"
"2012-01-01 00:00:00","31","18","13"
"2012-04-01 00:00:00","34","20","14"
"2012-07-01 00:00:00","52","28","24"
"2012-10-01 00:00:00","58","37","21"
"2013-01-01 00:00:00","73","51","22"
"2013-04-01 00:00:00","108","65","43"
"2013-07-01 00:00:00","141","86","55"
"2013-10-01 00:00:00","128","81","47"
"2014-01-01 00:00:00","152","96","56"
"2014-04-01 00:00:00","188","116","72"
"2014-07-01 00:00:00","261","153","108"
"2014-10-01 00:00:00","232","117","115"
"2015-01-01 00:00:00","252","106","146"
"2015-04-01 00:00:00","45","14","31"
